date,rainsum
1-Jan-09,0.0
2-Jan-09,0.0
3-Jan-09,0.7
4-Jan-09,0.0
5-Jan-09,0.0
6-Jan-09,14
7-Jan-09,27.1
8-Jan-09,1.9
9-Jan-09,1.0
10-Jan-09,66.4
11-Jan-09,55.3
12-Jan-09,14.4
13-Jan-09,1.5
14-Jan-09,16.2
15-Jan-09,28.4
16-Jan-09,17.5
17-Jan-09,27.6
18-Jan-09,1.2
19-Jan-09,0.1
20-Jan-09,0.0
21-Jan-09,22.5
22-Jan-09,47.7
23-Jan-09,38.5
24-Jan-09,4.1
25-Jan-09,5.2
26-Jan-09,0.1
27-Jan-09,2.8
28-Jan-09,10
29-Jan-09,11
30-Jan-09,1.6
31-Jan-09,72.1
1-Feb-09,5.0
2-Feb-09,0.8
3-Feb-09,4.5
4-Feb-09,0.0
5-Feb-09,0.0
6-Feb-09,0.2
7-Feb-09,2.1
8-Feb-09,0.9
9-Feb-09,13.5
10-Feb-09,4.4
11-Feb-09,7.2
12-Feb-09,0.9
13-Feb-09,1.0
14-Feb-09,8.6
15-Feb-09,30.4
16-Feb-09,22.7
17-Feb-09,0.8
18-Feb-09,1.5
19-Feb-09,3.4
20-Feb-09,0.2
21-Feb-09,31.2
22-Feb-09,5.2
23-Feb-09,0.4
24-Feb-09,0.0
25-Feb-09,11.0
26-Feb-09,36.5
27-Feb-09,0.0
28-Feb-09,0.2
1-Mar-09,13.2
2-Mar-09,0.8
3-Mar-09,2.4
4-Mar-09,5.4
5-Mar-09,0.3
6-Mar-09,0.7
7-Mar-09,0.1
8-Mar-09,0.1
9-Mar-09,0.1
10-Mar-09,0.0
11-Mar-09,0.1
12-Mar-09,0.0
13-Mar-09,0.0
14-Mar-09,0.0
15-Mar-09,0.0
16-Mar-09,0.0
17-Mar-09,0.0
18-Mar-09,0.0
19-Mar-09,0.0
20-Mar-09,0.0
21-Mar-09,0.0
22-Mar-09,0.0
23-Mar-09,0.0
24-Mar-09,0.0
25-Mar-09,0.0
26-Mar-09,0
27-Mar-09,0
28-Mar-09,0
29-Mar-09,51.9
30-Mar-09,0.6
31-Mar-09,0
1-Apr-09,0
2-Apr-09,0
3-Apr-09,0
4-Apr-09,0
5-Apr-09,0
6-Apr-09,0
7-Apr-09,0.3
8-Apr-09,0
9-Apr-09,0
10-Apr-09,0.1
11-Apr-09,0
12-Apr-09,0
13-Apr-09,0
14-Apr-09,0
15-Apr-09,0
16-Apr-09,0
17-Apr-09,0
18-Apr-09,0.1
19-Apr-09,0
20-Apr-09,0.9
21-Apr-09,1.4
22-Apr-09,3.3
23-Apr-09,1.3
24-Apr-09,0.1
25-Apr-09,0
26-Apr-09,0.8
27-Apr-09,1.6
28-Apr-09,0.5
29-Apr-09,0.5
30-Apr-09,1.1
1-May-09,0.8
2-May-09,9.2
3-May-09,5.5
4-May-09,4.4
5-May-09,2.6
6-May-09,1.7
7-May-09,0.3
8-May-09,0
9-May-09,0.1
10-May-09,0.2
11-May-09,0.3
12-May-09,1.4
13-May-09,1.1
14-May-09,0.1
15-May-09,0
16-May-09,0.2
17-May-09,0.2
18-May-09,0.2
19-May-09,0.2
20-May-09,2.9
21-May-09,0.1
22-May-09,0.1
23-May-09,0.2
24-May-09,1.2
25-May-09,0.3
26-May-09,0.3
27-May-09,0.2
28-May-09,0.2
29-May-09,0
30-May-09,0.1
31-May-09,0
1-Jun-09,0
