date,rainsum
1-May-09,44.8
30-Apr-09,23.3
29-Apr-09,81.6
28-Apr-09,8.3
27-Apr-09,0.6
26-Apr-09,10.9
25-Apr-09,11.3
24-Apr-09,0.4
23-Apr-09,22.5
22-Apr-09,5.0
21-Apr-09,0.1
20-Apr-09,8.9
19-Apr-09,1.0
18-Apr-09,0.0
17-Apr-09,0.0
16-Apr-09,0.0
15-Apr-09,1.3
14-Apr-09,0.0
13-Apr-09,0.0
12-Apr-09,0.1
11-Apr-09,0.0
10-Apr-09,0.0
9-Apr-09,0.0
8-Apr-09,0.6
7-Apr-09,0.0
6-Apr-09,0.0
5-Apr-09,0.0
4-Apr-09,0.0
3-Apr-09,0.0
2-Apr-09,0.0
1-Apr-09,0.0
31-Mar-09,7.1
30-Mar-09,6.8
29-Mar-09,9.7
28-Mar-09,14.5
27-Mar-09,6.7
26-Mar-09,6.1
25-Mar-09,4.0
24-Mar-09,11.4
23-Mar-09,39.4
22-Mar-09,21.6
21-Mar-09,39.0
20-Mar-09,0.6
19-Mar-09,80.8
18-Mar-09,39.0
17-Mar-09,43.1
16-Mar-09,0.0
15-Mar-09,1.5
14-Mar-09,0.0
13-Mar-09,0.1
12-Mar-09,0.6
11-Mar-09,21.8
10-Mar-09,0.0
9-Mar-09,0.0
8-Mar-09,1.5
7-Mar-09,0.0
6-Mar-09,2.4
5-Mar-09,5.6
4-Mar-09,0.4
3-Mar-09,5.3
2-Mar-09,12.9
1-Mar-09,5.4
28-Feb-09,0.8
27-Feb-09,0
26-Feb-09,21
25-Feb-09,3	
24-Feb-09,12.9
23-Feb-09,12.4	
22-Feb-09,1.4
21-Feb-09,3.4
20-Feb-09,1.1
19-Feb-09,13.3
18-Feb-09,45.3
17-Feb-09,22.1	
16-Feb-09,4
15-Feb-09,0.2
14-Feb-09,6.3
13-Feb-09,0.4
12-Feb-09,10.2
11-Feb-09,58.7
10-Feb-09,0.6
9-Feb-09,5
8-Feb-09,0.2	
7-Feb-09,0
6-Feb-09,4.5
5-Feb-09,7.5
4-Feb-09,0
3-Feb-09,17
2-Feb-09,4.05	
1-Feb-09,9.05
31-Jan-09,11.00
30-Jan-09,9.70
29-Jan-09,24.00
28-Jan-09,1.10
27-Jan-09,0.00
26-Jan-09,63.00
25-Jan-09,2.20
24-Jan-09,29.67
23-Jan-09,14.03
22-Jan-09,0.10
21-Jan-09,10.00
20-Jan-09,5.80
19-Jan-09,1.60
18-Jan-09,2.20
17-Jan-09,2.60
16-Jan-09,3.80
15-Jan-09,17.20
14-Jan-09,3.60
13-Jan-09,24.50
12-Jan-09,7.10
11-Jan-09,4.60
10-Jan-09,0.9
9-Jan-09,1.00
8-Jan-09,9.30
7-Jan-09,11.40
6-Jan-09,0.00
5-Jan-09,0.80
4-Jan-09,1.10
3-Jan-09,0.00
2-Jan-09,2.60
1-Jan-09,0.00

